,Id,Año,Mes,Día,Fecha ,Vehiculo victima,Sexo,Edad victima,Gravedad,Rango_etario
349,LC-2019-0026116,2019,1,14,2019-01-14,sd,Varon,0,SD,Menos de 20
350,LC-2019-0026619,2019,1,14,2019-01-14,sd,Varon,29,SD, Entre 21- 40
351,LC-2019-0026635,2019,1,14,2019-01-14,sd,Mujer,20,SD, Entre 21- 40
352,LC-2019-0026635,2019,1,14,2019-01-14,sd,Varon,20,SD, Entre 21- 40
353,LC-2019-0027065,2019,1,14,2019-01-14,sd,Varon,32,SD, Entre 21- 40
354,LC-2019-0027083,2019,1,14,2019-01-14,sd,Varon,40,SD,Entre 41-60
355,LC-2019-0027156,2019,1,14,2019-01-14,sd,Varon,40,SD,Entre 41-60
356,LC-2019-0027204,2019,1,14,2019-01-14,sd,Mujer,0,SD,Menos de 20
357,LC-2019-0027208,2019,1,14,2019-01-14,sd,Varon,0,SD,Menos de 20
358,LC-2019-0027290,2019,1,14,2019-01-14,sd,Varon,34,SD, Entre 21- 40
359,LC-2019-0027336,2019,1,14,2019-01-14,sd,Varon,60,SD,Entre 61-80
360,LC-2019-0027551,2019,1,14,2019-01-14,sd,SD,0,SD,Menos de 20
361,LC-2019-0027620,2019,1,14,2019-01-14,sd,Mujer,0,SD,Menos de 20
362,LC-2019-0027679,2019,1,14,2019-01-14,sd,Mujer,0,SD,Menos de 20
363,LC-2019-0027748,2019,1,14,2019-01-14,sd,Varon,31,SD, Entre 21- 40
364,LC-2019-0027769,2019,1,14,2019-01-14,sd,Mujer,25,SD, Entre 21- 40
365,LC-2019-0027969,2019,1,14,2019-01-14,sd,Varon,0,SD,Menos de 20
366,LC-2019-0028124,2019,1,14,2019-01-14,sd,Mujer,0,SD,Menos de 20
367,LC-2019-0028203,2019,1,14,2019-01-14,sd,Varon,29,SD, Entre 21- 40
368,LC-2019-0028228,2019,1,14,2019-01-14,sd,Varon,41,SD,Entre 41-60
369,LC-2019-0028228,2019,1,14,2019-01-14,sd,Varon,41,SD,Entre 41-60
370,LC-2019-0028384,2019,1,14,2019-01-14,sd,Varon,25,SD, Entre 21- 40
