Id,Fecha,Aaa,Mes_x,Día_x,Día semana,Hora,Num víctimas,Participantes,Acusado,Victima,Sexo,Edad victima,Rango etario,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Xy (caba),Coordenada x,Coordenada y,Pos x,Pos y
LC-2019-0052387,1900-01-01,2019,1,5,,,,,,,Varon,27, Entre 21- 40,,,,,,,,,,,,
LC-2019-0010050,1900-01-01,2019,1,6,,,,,,,Varon,24, Entre 21- 40,,,,,,,,,,,,
LC-2019-0010105,1900-01-01,2019,1,6,,,,,,,Varon,27, Entre 21- 40,,,,,,,,,,,,
LC-2019-0010145,1900-01-01,2019,1,6,,,,,,,Mujer,35, Entre 21- 40,,,,,,,,,,,,
LC-2019-0010228,1900-01-01,2019,1,6,,,,,,,Varon,12,Menos de 20,,,,,,,,,,,,
LC-2019-0010301,1900-01-01,2019,1,6,,,,,,,Varon,12,Menos de 20,,,,,,,,,,,,
LC-2019-0010436,1900-01-01,2019,1,6,,,,,,,Varon,12,Menos de 20,,,,,,,,,,,,
LC-2019-0010436,1900-01-01,2019,1,6,,,,,,,Varon,12,Menos de 20,,,,,,,,,,,,
LC-2019-0010649,1900-01-01,2019,1,6,,,,,,,Varon,12,Menos de 20,,,,,,,,,,,,
LC-2019-0010661,1900-01-01,2019,1,6,,,,,,,Varon,12,Menos de 20,,,,,,,,,,,,
LC-2019-0010730,1900-01-01,2019,1,6,,,,,,,Mujer,12,Menos de 20,,,,,,,,,,,,
LC-2019-0010814,1900-01-01,2019,1,6,,,,,,,Varon,12,Menos de 20,,,,,,,,,,,,
LC-2019-0010884,1900-01-01,2019,1,6,,,,,,,Varon,12,Menos de 20,,,,,,,,,,,,
LC-2019-0010884,1900-01-01,2019,1,6,,,,,,,Mujer,12,Menos de 20,,,,,,,,,,,,
LC-2019-0010983,1900-01-01,2019,1,6,,,,,,,Mujer,44,Entre 41-60,,,,,,,,,,,,
LC-2019-0010983,1900-01-01,2019,1,6,,,,,,,Mujer,44,Entre 41-60,,,,,,,,,,,,
LC-2019-0011004,1900-01-01,2019,1,7,,,,,,,Varon,70,Entre 61-80,,,,,,,,,,,,
LC-2019-0011053,1900-01-01,2019,1,7,,,,,,,Varon,29, Entre 21- 40,,,,,,,,,,,,
LC-2019-0011092,1900-01-01,2019,1,7,,,,,,,Varon,64,Entre 61-80,,,,,,,,,,,,
LC-2019-0011335,1900-01-01,2019,1,7,,,,,,,Varon,27, Entre 21- 40,,,,,,,,,,,,
